language,word,difficulty,category
ko,식당가,2,장소
ko,백화점,2,장소
ko,운동장,2,건강
ko,감기약,2,건강
ko,건강식,2,건강
ko,날씨표,2,자연
ko,사계절,2,자연
ko,등산로,2,자연
ko,문제집,2,공부
ko,정답지,2,공부
ko,연습장,2,공부
ko,역사책,2,공부
ko,과학실,2,공부
ko,언어학,2,공부
ko,아침밥,2,시간
ko,저녁길,2,시간
ko,휴일날,2,시간
ko,주말길,2,시간
ko,가족사진,2,사람
ko,친구들,2,사람
ko,선생님,2,사람
ko,학생증,2,사람
ko,운전사,2,사람
ko,의사소통,2,사람
ko,사진첩,2,미디어
ko,카메라,2,미디어
ko,음악회,2,미디어
ko,영화관,2,미디어
ko,입장권,2,미디어
ko,여행길,2,활동
ko,수영장,2,활동
ko,달리기,2,활동
ko,쇼핑몰,2,활동
ko,요리법,2,활동
ko,충전기,2,모빌리티
ko,주차장,2,모빌리티
ko,배터리,2,모빌리티
ko,자동차,2,모빌리티
ko,전기차,2,모빌리티
ko,결제금,2,비즈니스
ko,청구서,2,비즈니스
ko,서비스,2,비즈니스
ko,고객센터,2,비즈니스
ko,업데이트,2,비즈니스
ko,계정관리,2,비즈니스
ko,영수증,2,비즈니스
ko,회원가입,2,비즈니스
ko,공지사항,2,비즈니스
ko,연락처,2,비즈니스
ko,다운로드,2,컴퓨터
ko,업로드,2,컴퓨터
ko,폴더관리,2,컴퓨터
ko,환경설정,2,컴퓨터
ko,비밀번호,2,컴퓨터
ko,달력보기,2,업무
ko,문서작성,2,업무
ko,계약서,2,업무
ko,배송조회,2,업무
ko,요청사항,2,업무
ko,교통량,2,모빌리티
ko,지하철,2,모빌리티
ko,자전거,2,모빌리티
ko,고속도로,2,모빌리티
ko,터미널,2,모빌리티
ko,문화생활,2,사회
ko,콘서트,2,미디어
ko,경기장,2,장소
ko,축제날,2,활동
ko,훈련과정,2,공부
ko,수업내용,2,공부
ko,예시문장,2,공부
ko,단원정리,2,공부
ko,핵심어,2,공부
ko,요약문,2,공부
ko,알고리즘,3,프로그래밍
ko,함수정의,3,프로그래밍
ko,변수관리,3,프로그래밍
ko,인터페이스,3,프로그래밍
ko,컴포넌트,3,프로그래밍
ko,프레임워크,3,프로그래밍
ko,디버깅,3,프로그래밍
ko,프론트엔드,3,프로그래밍
ko,백엔드,3,프로그래밍
ko,배포관리,3,프로그래밍
ko,사용자인증,3,보안
ko,데이터암호화,3,보안
ko,접근권한,3,보안
ko,방화벽,3,보안
ko,악성코드,3,보안
ko,거래정산,3,비즈니스
ko,운영관리,3,비즈니스
ko,제휴전략,3,비즈니스
ko,정산처리,3,비즈니스
ko,프로모션,3,비즈니스
ko,데이터분석,3,데이터
ko,시각화,3,데이터
ko,수요예측,3,데이터
ko,대시보드,3,데이터
ko,군집분석,3,데이터
ko,아키텍처,3,기술
ko,인프라구성,3,기술
ko,업무자동화,3,기술
ko,시스템연동,3,기술
ko,데이터이관,3,기술
ko,지속가능성,3,사회
ko,기술혁신,3,사회
ko,정책규제,3,정책
ko,준법관리,3,정책
ko,인증제도,3,정책
ko,예약서비스,3,서비스
ko,길안내,3,서비스
ko,알림기능,3,서비스
ko,구독서비스,3,서비스
ko,회원관리,3,서비스
ko,상호운용성,4,기술
ko,컨테이너화,4,프로그래밍
ko,권한부여체계,4,보안
ko,관측가능성,4,기술
ko,표준화전략,4,비즈니스
ko,최적화모델,4,데이터
ko,디지털전환,4,비즈니스
ko,전기모빌리티,4,모빌리티
ko,탈탄소화,4,에너지
ko,차별화전략,4,마케팅
